id,essay_prompt,authorship,class_type,grade_letter,gptzero_label,gptzero_ai_percent,contentdetector_label,contentdetector_ai_percent,sapling_fake_percent,copyleaks_ai_percent
28798,"“Analyze how authors use deception as a literary device in short fiction. Using at least two short stories, explain how deception shapes plot, character development, and reader engagement. Support your analysis with textual evidence and at least one secondary source.",Entirely written by me,English,B,Human,0,Likely Human,25,0.1,0
11722,"""What are dark ghettos""",Entirely written by me,Ethics,A,Human,0,Likely Human,0,0,0
22620,****,"Partly written by me, partly by AI",Other,A,Human,0,May Have AI,95,90,93
28920,"1.	Using Iran and North Korea’s decision to acquire nuclear weapons, explain the concept of “sovereignty.” How has this concept led to both countries decisions to ignore or at times violate international norms?",Entirely written by me,History,B,Human,0,Likely Human,48,0.3,0
1110,"1. Based on Jeremy Brecher's account of the 1877 railroad strikes in ""The Great Upheaval"" and the video ""The Grand Army of Starvation,"" why did many workers who were not employed by the railroad companies support the striking railroad workers?  In your response, you must include at least one relevant quotation from the assigned material. Please indicate after the quoted material the page number from which the quote was taken.  Example: ""Like the railroad workers, others joined the 'insurrection' out of frustration with other means of struggle."" (Brecher, p. 20)  2. Do you think that a fundamental class conflict still exists between working people and employers in contemporary America as it did in 1877, during the Great Upheaval?  If your answer is yes, provide examples of fundamental class conflict between employers and workers in our economic system. If your answer is no or the conflict is less severe, explain why you think class conflict of this type is no longer a key factor in the U.S. today.","Written by me, but grammar was corrected by AI",History,A,Human,0,Likely Human,0,28.8,0
22137,"1. Why does it matter for the ontological argument for the existence of God whether existence is a property? To answer this, be sure to: a. b. c. d. e. Give a clear outline of the ontological argument. Explain the claim that existence is a property as clearly as you can. Indicate specifically where this claim fits into the argument. Explain how it could affect the argument if the claim is wrong. Assess what this means for the argument. Does it show the argument to be unsound? Invalid?",AI-generated,Other,B,Human,0,Likely Human,0,77.8,0
846,"A common thread in this course has been the theme of public exposure and messaging, specifically the opportunities for messaging that media and social media provide in wider public forums that can have a damaging impact on the individual. Additionally, we have observed the impact of mainstream ideas on subcultures in America as Yoshino and hooks identify. Krithika Varagur states, “When the world is chaos it makes sense to take introspective turn.” (Varagur 2). Using Varagur or Widdecombe and one other writer from our semester readings, address the following question. Do the media and social media push in many regards pose a greater threat than benefit to humanity? Provide text support for your response.  Citing textual evidence from Widdecombe/Varagur and any other reading from our course to substantiate your analysis, compose an original essay in response to the following questions: Using Varagur or Widdecombe and one other writer from our semester readings, address the following question. Does the media and social media influence in many regards pose a greater threat than benefit to humanity? Provide text support for your response. Pre-Writing Questions: (*Note: do not “answer” these questions directly in the body of your essays; rather, I include them here to help you generate ideas and start working toward your response to the prompt).  Consider the follow-up questions in your response:  * How might a society continue to evolve and yet address some of the concerns that the authors have brought up?  *  What are some of the issues that you have identified concerning the public speaking space and is it possible to address them fairly?  * How do the selected authors  you have chosen connect through their ideas?",Entirely written by me,English,B,Human,0,May Have AI,60,10.5,0
10582,"A persuasive opinion essay, formally called an Op-Ed, advocating for a specific change to some aspect of the agriculture and food system or seeking to create new awareness (500- to 1000 words). Your audience here is a public audience that reads a newspaper.      You may choose any topic related to agriculture and food system, including your research topic.     You may choose the newspaper, it could be local, and follow its rules.         E.g. New York Times Guest Essays: https://www.nytimes.com/section/opinion/contributors       Links to an external site. Feel to read some of these essays to get a feel for the way people write.  The essay should Include a title, your name, the essay, and for purposes of this course, reference section and any AI disclosure Submit Word or PDF document.  In the text box, include the newspaper",Entirely written by me,Other,B,Human,0,Likely Human,10,10,0
1479,"a.	How does the story Barn Burning depict good vs. evil? Is there anyone in the story who could be considered good? Who would be considered evil? Use evidence and direct quotes from the story to support your interpretation.",Entirely written by me,English,,Human,0,Likely Human,14,1.2,0
19036,"Active vs. Passive Allocation Decision  Morgan Stanley contends that elevated market concentration and volatility favor active management. Compare that argument with the core principles of passive investing discussed. Recommend whether U.S. institutional investors should adopt an active, passive, or blended equity allocation over the coming 12 months—and justify your view.","Partly written by me, partly by AI",Other,,Human,0,Likely Human,50,78.9,0
18168,An open letter to your welcome,Entirely written by me,English,,Human,0,Likely Human,0,75.1,0
